Block_APO,Sales_Rep,CVM_clean,count
2102,Alessia,Maintain,3
2103,Alessia,Build,3
2103,Alessia,Maintain,1
2104,Alessia,Build,1
2104,Alessia,Defend,1
2105,Alessia,Maintain,1
2106,Alessia,Build,3
2106,Alessia,Gain,1
2106,Alessia,Maintain,4
2107,Alessia,Build,1
2107,Alessia,Maintain,1
2108,Alessia,Build,4
2108,Alessia,Maintain,7
2109,Alessia,Build,1
2109,Alessia,Defend,1
2109,Alessia,Gain,1
2109,Alessia,Maintain,5
2110,Alessia,Build,2
2110,Alessia,Maintain,3
2111,Alessia,Maintain,2
2112,Alessia,Build,3
2112,Alessia,Maintain,1
2113,Michaela,Build,7
2113,Michaela,Defend,3
2113,Michaela,Maintain,5
2114,Michaela,Gain,1
2114,Michaela,Maintain,1
2115,Michaela,Gain,3
2116,Michaela,Build,1
2116,Michaela,Defend,1
2116,Michaela,Gain,1
2116,Michaela,Maintain,2
2117,Michaela,Build,2
2117,Michaela,Defend,1
2117,Michaela,Maintain,2
2118,Michaela,Build,1
2118,Michaela,Defend,1
2118,Michaela,Gain,2
2119,Michaela,Build,2
2119,Michaela,Defend,1
2119,Michaela,Gain,1
2119,Michaela,Maintain,3
2120,Florence,Gain,1
2120,Michaela,Build,7
2120,Michaela,Defend,1
2120,Michaela,Maintain,4
2121,Michaela,Build,4
2121,Michaela,Maintain,1
2122,Florence,Build,4
2122,Florence,Defend,1
2122,Florence,Gain,1
2122,Florence,Maintain,4
2123,Florence,Build,4
2123,Florence,Defend,1
2123,Florence,Maintain,3
2124,Michaela,Build,2
2124,Michaela,Defend,1
2124,Michaela,Maintain,1
2125,Michaela,Build,2
2125,Michaela,Maintain,2
2126,Michaela,Build,3
2126,Michaela,Maintain,4
2127,Michaela,Build,4
2127,Michaela,Gain,1
2127,Michaela,Maintain,1
2128,Michaela,Build,3
2128,Michaela,Defend,1
2128,Michaela,Maintain,2
2129,Michaela,Build,4
2129,Michaela,Maintain,3
2130,Michaela,Build,5
2130,Michaela,Maintain,5
2131,Michaela,Build,4
2131,Michaela,Defend,1
2131,Michaela,Gain,1
2131,Michaela,Maintain,1
2132,Florence,Build,2
2132,Florence,Defend,2
2132,Florence,Maintain,6
2133,Florence,Build,1
2133,Florence,Defend,1
2133,Florence,Maintain,4
2134,Florence,Defend,3
2134,Florence,Maintain,3
2135,Florence,Build,5
2135,Florence,Defend,1
2135,Florence,Gain,1
2135,Florence,Maintain,3
2136,Florence,Build,4
2136,Florence,Maintain,2
2137,Florence,Build,1
2137,Florence,Maintain,4
2138,Michaela,Build,2
2138,Michaela,Maintain,4
2139,Michaela,Build,4
2139,Michaela,Defend,3
2139,Michaela,Maintain,3
2140,Michaela,Build,1
2140,Michaela,Defend,3
2140,Michaela,Maintain,3
2141,Michaela,Build,2
2141,Michaela,Defend,1
2141,Michaela,Maintain,6
2142,Michaela,Build,1
2142,Michaela,Defend,1
2142,Michaela,Gain,1
2142,Michaela,Maintain,9
2143,Michaela,Build,2
2143,Michaela,Maintain,3
2144,Michaela,Build,1
2144,Michaela,Gain,3
2144,Michaela,Maintain,2
2145,Michaela,Defend,1
2145,Michaela,Maintain,2
2146,Michaela,Build,2
2146,Michaela,Defend,2
2146,Michaela,Gain,1
2146,Michaela,Maintain,2
2147,Michaela,Build,1
2147,Michaela,Gain,1
2147,Michaela,Maintain,2
2148,Michaela,Build,2
2148,Michaela,Gain,1
2148,Michaela,Maintain,5
2149,Michaela,Gain,1
2149,Michaela,Maintain,2
2150,Michaela,Build,2
2150,Michaela,Maintain,1
2151,Michaela,Build,1
2151,Michaela,Gain,2
2151,Michaela,Maintain,1
2152,Michaela,Build,1
2152,Michaela,Defend,1
2152,Michaela,Maintain,5
2153,Michaela,Build,3
2153,Michaela,Defend,1
2153,Michaela,Maintain,2
2154,Michaela,Build,4
2154,Michaela,Defend,1
2154,Michaela,Gain,1
2154,Michaela,Maintain,1
2155,Michaela,Build,3
2155,Michaela,Defend,2
2155,Michaela,Gain,1
2155,Michaela,Maintain,3
2156,Michaela,Build,3
2156,Michaela,Defend,1
2156,Michaela,Maintain,7
2157,Michaela,Build,3
2157,Michaela,Defend,1
2157,Michaela,Maintain,1
2158,Michaela,Build,1
2158,Michaela,Gain,1
2158,Michaela,Maintain,5
2159,Michaela,Defend,3
2159,Michaela,Gain,1
2159,Michaela,Maintain,1
2160,Michaela,Build,3
2160,Michaela,Maintain,2
2162,Luis,Gain,1
2162,Luis,Maintain,5
2162,Michaela,Maintain,1
2163,Luis,Defend,1
2163,Luis,Maintain,1
2164,Luis,Defend,2
2164,Luis,Maintain,3
2165,Luis,Defend,2
2165,Luis,Maintain,1
2166,Luis,Defend,2
2166,Luis,Gain,1
2166,Luis,Maintain,1
2167,Luis,Defend,2
2167,Luis,Maintain,1
2168,Luis,Defend,3
2168,Luis,Gain,1
2168,Luis,Maintain,4
2170,Luis,Defend,2
2170,Luis,Gain,2
2171,Luis,Gain,1
2171,Luis,Maintain,1
2172,Luis,Defend,1
2172,Luis,Gain,1
2172,Luis,Maintain,1
2173,Luis,Defend,1
2173,Luis,Gain,1
2173,Luis,Maintain,2
2174,Luis,Build,3
2174,Luis,Maintain,1
2175,Michaela,Build,5
2175,Michaela,Gain,4
2175,Michaela,Maintain,1
2176,Michaela,Build,5
2176,Michaela,Maintain,2
2177,Michaela,Build,3
2178,Michaela,Defend,1
2178,Michaela,Maintain,2
2179,Michaela,Build,3
2179,Michaela,Defend,3
2179,Michaela,Maintain,8
2180,Michaela,Build,5
2180,Michaela,Defend,4
2180,Michaela,Maintain,8
2181,Michaela,Build,3
2181,Michaela,Defend,1
2181,Michaela,Maintain,7
2182,Sarina,Build,5
2182,Sarina,Defend,1
2182,Sarina,Gain,4
2182,Sarina,Maintain,5
2183,Luis,Defend,2
2183,Luis,Maintain,1
2184,Luis,Defend,3
2184,Luis,Gain,2
2184,Luis,Maintain,1
2185,Sarina,Build,2
2185,Sarina,Defend,3
2185,Sarina,Gain,1
2185,Sarina,Maintain,3
2186,Sarina,Build,2
2186,Sarina,Gain,3
2186,Sarina,Maintain,1
2187,Luis,Defend,11
2187,Luis,Gain,2
2187,Luis,Maintain,6
2188,Luis,Defend,3
2188,Luis,Maintain,4
2190,Luis,Defend,2
2190,Luis,Gain,2
2190,Luis,Maintain,1
2191,Luis,Gain,1
2191,Luis,Maintain,4
2192,Luis,Defend,4
2192,Luis,Gain,1
2192,Luis,Maintain,4
2193,Luis,Defend,4
2193,Luis,Gain,1
2193,Luis,Maintain,5
2194,Luis,Defend,3
2194,Luis,Maintain,1
2195,Luis,Defend,2
2195,Luis,Maintain,2
2196,Luis,Defend,3
2196,Luis,Maintain,4
2197,Luis,Defend,1
2197,Luis,Maintain,4
2199,Luis,Defend,1
2199,Luis,Maintain,2
2200,Luis,Maintain,5
2201,Luis,Defend,3
2201,Luis,Gain,2
2201,Luis,Maintain,3
2202,Luis,Defend,1
2202,Luis,Maintain,4
2203,Luis,Defend,1
2203,Luis,Gain,1
2203,Luis,Maintain,2
2204,Luis,Defend,4
2204,Luis,Gain,1
2204,Luis,Maintain,6
2205,Luis,Defend,4
2205,Luis,Maintain,3
2206,Luis,Defend,5
2206,Luis,Maintain,1
2207,Luis,Defend,1
2207,Luis,Gain,1
2207,Luis,Maintain,7
2208,Luis,Defend,1
2208,Luis,Gain,1
2208,Luis,Maintain,2
2209,Luis,Defend,4
2209,Luis,Maintain,4
2210,Sarina,Build,7
2210,Sarina,Defend,2
2210,Sarina,Gain,4
2210,Sarina,Maintain,7
2211,Luis,Defend,3
2211,Luis,Maintain,2
2212,Luis,Defend,4
2212,Luis,Maintain,1
2213,Luis,Defend,4
2213,Luis,Maintain,3
2214,Luis,Defend,4
2214,Luis,Gain,1
2214,Luis,Maintain,1
2215,Luis,Defend,3
2215,Luis,Maintain,2
2216,Luis,Defend,2
2216,Luis,Gain,2
2216,Luis,Maintain,2
2217,Luis,Defend,1
2217,Luis,Gain,1
2217,Luis,Maintain,3
2218,Luis,Defend,3
2218,Luis,Maintain,2
2220,Sarina,Build,2
2220,Sarina,Defend,4
2220,Sarina,Gain,2
2220,Sarina,Maintain,3
2221,Sarina,Defend,2
2221,Sarina,Gain,1
2221,Sarina,Maintain,5
2223,Sarina,Build,1
2223,Sarina,Defend,1
2223,Sarina,Gain,2
2223,Sarina,Maintain,1
2224,Sarina,Build,2
2224,Sarina,Defend,2
2224,Sarina,Gain,3
2224,Sarina,Maintain,1
2225,Sarina,Build,2
2225,Sarina,Defend,2
2225,Sarina,Gain,7
2225,Sarina,Maintain,3
2226,Sarina,Build,2
2226,Sarina,Gain,4
2226,Sarina,Maintain,3
2227,Sarina,Build,3
2227,Sarina,Defend,1
2227,Sarina,Gain,5
2227,Sarina,Maintain,2
2228,Sarina,Build,1
2228,Sarina,Defend,1
2228,Sarina,Gain,1
2228,Sarina,Maintain,2
2229,Sarina,Build,4
2229,Sarina,Defend,1
2229,Sarina,Gain,5
2229,Sarina,Maintain,7
2230,Sarina,Build,2
2230,Sarina,Defend,1
2230,Sarina,Gain,2
2230,Sarina,Maintain,6
2231,Sarina,Build,5
2231,Sarina,Defend,2
2231,Sarina,Gain,3
2231,Sarina,Maintain,4
2232,Sarina,Build,6
2232,Sarina,Defend,1
2232,Sarina,Gain,6
2232,Sarina,Maintain,2
2233,Sarina,Build,3
2233,Sarina,Defend,1
2233,Sarina,Gain,7
2233,Sarina,Maintain,6
2236,Sarina,Build,7
2236,Sarina,Defend,1
2236,Sarina,Gain,4
2236,Sarina,Maintain,4
2237,Sarina,Build,2
2237,Sarina,Gain,4
2237,Sarina,Maintain,2
2238,Sarina,Build,2
2238,Sarina,Gain,1
